Item Number,Description,Vendor,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,,Mandatory,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
7104,"IBC Cleaner - MPO, MTP",Proficium,Consumables and Misc.,Jon,Swapnil Kale,Inventory,No,$88.90,Eaches,7104,Proficium,,7,,,,100,16,22 Inches,17 Inches,14 Inches,,,NLR,9603.50.0000,Average,Network Communication,144502,,,,,,,,,,,,
7104,US Conec IBC MPO-MTP CLEANING TOOL,US Conec LTD,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,7104,Graybar,25646153,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
9393,IBC Cleaner - LC,Proficium,Consumables and Misc.,Dan Money,Dan Money,Inventory,No,$69.95,Eaches,9393,Proficium,,7,,,,100,16,22 Inches,17 Inches,14 Inches,,,NLR,9603.50.0000,Average,Network Communication,144502,,,,,,,,,,,,
9393,UC Conec IBC LC ONE CLICK CLEANING TOOL,US Conec LTD,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,9393,Graybar,25646154,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
62452,"Magnetic Hook and Loop Holder 26lbs pull strengh 3/4"" slot width",Mag Daddy,Consumables and Misc.,Dan,Dan Money,Inventory,No,,Eaches,62452,"Mag Daddy, LLC",62452,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
261022,WESCO PLATFORM FIXED BASE POWERED STACKER,Wesco Industrial Products,Machinery and Equipment,Dan,Dan Money,Inventory,No,,Eaches,261022,Graybar,26704398,,,,,,,,,,,,,,Average,Machinery and Equipment,144502,,,,,,,,,,,,
272942,WESCO PLATFORM FOR 273204 LIFT STACKER,Wesco Industrial Products,Machinery and Equipment,Dan,Dan Money,Inventory,No,,Eaches,272942,Graybar,26704397,,,,,,,,,,,,,,Average,Machinery and Equipment,144502,,,,,,,,,,,,
273204,WESCO BATTERY OPERATED VALUE LIFT STACKER,Wesco Industrial Products,Machinery and Equipment,Dan,Dan Money,Inventory,No,,Eaches,273204,Graybar,26704396,,,,,,,,,,,,,,Average,Machinery and Equipment,144502,,,,,,,,,,,,
14100201,Cletop Cassette Cleaner Type MPO/MTP with White Tape,Proficium,Consumables and Misc.,Jon,Swapnil Kale,Inventory,No,$97.24,Eaches,14100201,Proficium,,7,,,,100,16,22 Inches,17 Inches,14 Inches,,,NLR,9603.50.0000,Average,Network Communication,144502,,,,,,,,,,,,
14110611,Cletop-S Cassette Cleaner Type B with White Tape,Proficium,Consumables and Misc.,Jon,Swapnil Kale,Inventory,No,$81.60,Eaches,14110611,Proficium,,7,,,,100,16,22 Inches,17 Inches,14 Inches,,,NLR,9603.50.0000,Average,Network Communication,144502,,,,,,,,,,,,
0.5M-2FSM-LCLC,OS2 Duplex LC-LC 0.5M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$4.15,Eaches,0.5M-2FSM-LCLC,Proficium,,7,,,,500,16,18.5 Inches,18.5 Inches,13 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
016050-0001-110,PELICAN 1605 AIR CASE BLACK,Pelican Products Inc,Machinery and Equipment,Dan,Dan Money,Inventory,No,,Eaches,016050-0001-110,Graybar,26704399,,,,,,,,,,,,,,Average,Machinery and Equipment,144502,,,,,,,,,,,,
1.5M-12FM4-OFF-B,OM4 12F MPO F-F Type B 1.5M,Proficium,Cabling,Jon,Swapnil Kale,Inventory,No,$49.00,Eaches,1.5M-12FM4-OFF-B,Proficium,,14,,,,50,16,17 Inches,17 Inches,17 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
